"transaction_date","description","original_description","transaction_amount","transaction_type","category","account_name","labels","notes"
"10/08/2020","UBERRITO - SAN ANTONIO 361-7792763 TX","UBERRITO - SAN ANTONIO 361-7792763 TX","15.16","debit","Restaurants","Signature Visa","",""
"10/08/2020","SAT AIRPORT PARKING-PR SAN ANTONIO TX","SAT AIRPORT PARKING-PR SAN ANTONIO TX","5.00","debit","Parking","Signature Visa","",""
"10/08/2020","WHISKEY CAKE - LA CANTERASAN ANTONIO TX","WHISKEY CAKE - LA CANTERASAN ANTONIO TX","37.48","debit","Food & Dining","Signature Visa","",""
"10/08/2020","Chick-Fil-A","CHICK-FIL-A #00680 210-699-6100 TX","4.28","debit","Fast Food","Signature Visa","",""
"10/08/2020","Bee Clean Car Wash 3 SAN ANTONIO TX","Bee Clean Car Wash 3 SAN ANTONIO TX","14.99","debit","Service & Parts","Signature Visa","",""
"10/08/2020","GrubHub","GRUBHUBBENGOTACOSBURG GRUBHUB.COM NY","23.92","debit","Food & Dining","Signature Visa","",""
"10/08/2020","Wal-Mart","WAL-MART #2599 SAN ANTONIO TX","35.89","debit","Shopping","Signature Visa","",""
"10/06/2020","Circle K","CIRCLE K #2741054 SAN ANTONIO TX","40.15","debit","Gas & Fuel","Signature Visa","",""
"10/06/2020","Supercuts","SUPERCUTS SAN ANTONIO TX","25.70","debit","Hair","Signature Visa","",""
"10/05/2020","Burger King","BURGER KING #9061 amal@gulshaniTX","6.17","debit","Fast Food","Signature Visa","",""
"10/04/2020","Last Pay","Last pay!","250.00","credit","Income","Venmo","",""
"10/04/2020","REI","REI #131 SAN ANTONIO SAN ANTONIO TX","276.01","debit","Sporting Goods","Signature Visa","",""
"10/04/2020","H-E-B #623 SAN ANTONIO TX","H-E-B #623 SAN ANTONIO TX","26.08","debit","Groceries","Signature Visa","",""
"10/04/2020","MADURAI MES SAN ANTONIO TX","MADURAI MES SAN ANTONIO TX","17.41","debit","Restaurants","Signature Visa","",""
"10/04/2020","Kohl's","KOHL'S #0643 SAN ANTONIO TX","69.25","debit","Clothing","Signature Visa","",""
"10/03/2020","Friends","Friends","20.00","debit","Alcohol & Bars","Venmo","",""
"10/03/2020","Dunkin Donuts","DD/BR #357201 SAN ANTONIO TX","5.73","debit","Coffee Shops","Signature Visa","",""
"10/03/2020","SPECS #100 SAN ANTONIO TX","SPECS #100 SAN ANTONIO TX","42.13","debit","Alcohol & Bars","Signature Visa","",""
"10/03/2020","McDonald's","MCDONALD'S F20461 SAN ANTONIO TX","7.58","debit","Fast Food","Signature Visa","",""
"10/02/2020","Buffalo Wild Wings","BUFFALO WILD WINGS 0637 210-6949464 TX","18.23","debit","Restaurants","Signature Visa","",""
"10/02/2020","Venmo","VENMO            PAYMENT    ***********6143 ACH WITHDRAWAL","20.00","debit","Transfer","USAA CLASSIC CHECKING","",""
"10/02/2020","Zelle: Norma Velazquez 2773118087","Zelle: Norma Velazquez 2773118087","800.00","debit","Transfer","USAA CLASSIC CHECKING","",""
"10/01/2020","Disc golf","Disc golf","20.00","debit","Sports","Venmo","",""
"10/01/2020","October Rent","October rent","880.00","credit","Income","Venmo","",""
"10/01/2020","USAA PAYROLL EXT : DIR DEP ID: USAA-PYRLLCO: USAA PAYROLL EXT %% ACH Trace 021000028001006","USAA PAYROLL EXT : DIR DEP  ID:","320.00","credit","Paycheck","REGULAR SAVINGS","",""
"10/01/2020","USAA PAYROLL EXT : DIR DEP ID: USAA-PYRLLCO: USAA PAYROLL EXT %% ACH Trace 021000028001007","USAA PAYROLL EXT : DIR DEP  ID:","150.00","credit","Paycheck","MONEY MARKET","",""
"10/01/2020","USAA PAYROLL INT DIR DEP ***********3240 ACH DEP","USAA PAYROLL INT DIR DEP    ***********3240 ACH DEP","2263.03","credit","Paycheck","USAA CLASSIC CHECKING","",""
"10/01/2020","USAA PAYROLL INT DIR DEP ***********3240 ACH DEP","USAA PAYROLL INT DIR DEP    ***********3240 ACH DEP","300.00","credit","Paycheck","USAA CLASSIC CHECKING","",""
"10/01/2020","USAA FUNDS TRANSFER DB TO ******8658","USAA FUNDS TRANSFER DB TO ******8658","2500.00","debit","Transfer","USAA CLASSIC CHECKING","",""
"10/01/2020","Zelle: Norma Velazquez 2768831999","Zelle: Norma Velazquez 2768831999","800.00","debit","Transfer","USAA CLASSIC CHECKING","",""
"10/01/2020","USAA FUNDS TRANSFER CR","USAA FUNDS TRANSFER CR ","2500.00","credit","Transfer","USAA CLASSIC CHECKING","",""
"9/30/2020","Apy Earned","0.050% APY Earned  0.05%","0.02","credit","Income","REGULAR SAVINGS","",""
"9/30/2020","Tiered Rate Apy","Tiered Rate APY Earned  0.21%","0.39","credit","Income","MONEY MARKET","",""
"9/30/2020","McDonald's","MCDONALD'S F26150 SAN ANTONIO TX","6.71","debit","Fast Food","Signature Visa","",""
"9/30/2020","SPECS #100 SAN ANTONIO TX","SPECS #100 SAN ANTONIO TX","42.13","debit","Alcohol & Bars","Signature Visa","",""
"9/29/2020","Wal-Mart","WAL-MART #2599 SAN ANTONIO TX","35.36","debit","Shopping","Signature Visa","",""
"9/29/2020","POSTMATES 03447 POTBEL HTTPSPOSTMATECA","POSTMATES 03447 POTBEL HTTPSPOSTMATECA","14.58","debit","Restaurants","Signature Visa","",""
"9/29/2020","McDonald's","MCDONALD'S F12673 SAN ANTONIO TX","5.63","debit","Fast Food","Signature Visa","",""
"9/29/2020","Amazon","AMZN Mktp US*MK3P13Z71 Amzn.com/billWA","38.94","debit","Shopping","Signature Visa","",""
"9/29/2020","Robinhood","ROBINHOOD        Funds      ***********0451 ACH WITHDRAWAL","300.00","debit","Investments","USAA CLASSIC CHECKING","",""
"9/28/2020","INTEREST PAID","INTEREST PAID ","0.04","credit","Interest Income","USAA CLASSIC CHECKING","",""
"9/28/2020","VENMO CASHOUT ***********0715 ACH DEP","VENMO            CASHOUT    ***********0715 ACH DEP","728.08","credit","Income","USAA CLASSIC CHECKING","",""
"9/28/2020","Usaa","USAA CREDIT CARD PAYMENT CARD ENDING IN 0827","2000.00","debit","Credit Card Payment","USAA CLASSIC CHECKING","",""
"9/26/2020","UFC 253","UFC 253","30.00","debit","Restaurants","Venmo","",""
"9/26/2020","Transfer To Usaa Federal Savings Bank","Transfer To Usaa Federal Savings Bank","728.08","debit","Transfer","Venmo","",""
"9/26/2020","USAA CREDIT CARD PAYMENT SAN ANTONIO TX","USAA CREDIT CARD PAYMENT SAN ANTONIO TX","2000.00","credit","Credit Card Payment","Signature Visa","",""
"9/25/2020","PetSmart","PETSMART # 1028 SAN ANTONIO TX","7.57","debit","Pet Food & Supplies","Signature Visa","",""
"9/25/2020","Chick-Fil-A","CHICK-FIL-A #00680 210-699-6100 TX","8.65","debit","Fast Food","Signature Visa","",""
"9/25/2020","Time Warner","TIME WARNER CABL TW CABLE   *********** SPA ACH WITHDRAWAL","112.24","debit","Television","USAA CLASSIC CHECKING","",""
"9/24/2020","Food","Food","9.10","credit","Income","Venmo","",""
"9/24/2020","POSTMATES 03447 CHICK HTTPSPOSTMATECA","POSTMATES 03447 CHICK HTTPSPOSTMATECA","15.20","debit","Restaurants","Signature Visa","",""
"9/24/2020","Burger King","BURGER KING #9061 amal@gulshaniTX","6.50","debit","Fast Food","Signature Visa","",""
"9/24/2020","Wal-Mart","WM SUPERCENTER #2599 SAN ANTONIO TX","48.63","debit","Shopping","Signature Visa","",""
"9/23/2020","Amazon","AMZN Mktp US*M40YG4130 Amzn.com/billWA","24.89","debit","Shopping","Signature Visa","",""
"9/21/2020","Circle K","CIRCLE K #2741054 SAN ANTONIO TX","10.83","debit","Gas & Fuel","Signature Visa","",""
"9/21/2020","GrubHub","GRUBHUBPOPEYES GRUBHUB.COM NY","13.74","debit","Food & Dining","Signature Visa","",""
"9/21/2020","Wb Liquors","WB LIQUORS-21 SAN ANTONIO TX","41.12","debit","Alcohol & Bars","Signature Visa","",""
"9/21/2020","AUTOFORTIVA payment AUTOPAY ***********6497 ACH WITHDRAWAL","AUTOFORTIVA PMT  AUTOPAY    ***********6497 ACH WITHDRAWAL","26.19","debit","Bills & Utilities","USAA CLASSIC CHECKING","",""
"9/21/2020","CITY PUBLIC SRV CPS BILL ***********7971 ACH WITHDRAWAL","CITY PUBLIC SRV  CPS BILL   ***********7971 ACH WITHDRAWAL","223.18","debit","Utilities","USAA CLASSIC CHECKING","",""
"9/19/2020","Target","TARGET 00021873 SAN ANTONIO TX","9.99","debit","Shopping","Signature Visa","",""
"9/19/2020","QuikTrip","QT 4012 INSIDE SAN ANTONIO TX","18.39","debit","Gas & Fuel","Signature Visa","",""
"9/19/2020","McDonald's","MCDONALD'S F26150 SAN ANTONIO TX","7.79","debit","Fast Food","Signature Visa","",""
"9/19/2020","Netflix","Netflix.com 408-5403700 CA","9.73","debit","Movies & DVDs","Signature Visa","",""
"9/18/2020","Buffalo Wild Wings","Buffalo wild wings","30.00","credit","Income","Venmo","",""
"9/18/2020","USAA FUNDS TRANSFER DB TO ******8658","USAA FUNDS TRANSFER DB TO ******8658","2977.21","debit","Transfer","USAA CLASSIC CHECKING","",""
"9/18/2020","Buffalo Wild Wings","BUFFALO WILD WINGS 0637 210-6949464 TX","46.93","debit","Restaurants","Signature Visa","",""
"9/18/2020","Amazon","AMAZON.COM*M49VQ6OD0 AMZNAMZN.COM/BILLWA","91.40","debit","Shopping","Signature Visa","",""
"9/18/2020","USAA FUNDS TRANSFER CR","USAA FUNDS TRANSFER CR ","2977.21","credit","Transfer","USAA CLASSIC CHECKING","",""
"9/17/2020","USAA PAYROLL EXT : DIR DEP ID: USAA-PYRLLCO: USAA PAYROLL EXT %% ACH Trace 021000027145971","USAA PAYROLL EXT : DIR DEP  ID:","320.00","credit","Paycheck","REGULAR SAVINGS","",""
"9/17/2020","USAA PAYROLL EXT : DIR DEP ID: USAA-PYRLLCO: USAA PAYROLL EXT %% ACH Trace 021000027145972","USAA PAYROLL EXT : DIR DEP  ID:","150.00","credit","Paycheck","MONEY MARKET","",""
"9/17/2020","USAA PAYROLL INT DIR DEP ***********3240 ACH DEP","USAA PAYROLL INT DIR DEP    ***********3240 ACH DEP","2764.69","credit","Paycheck","USAA CLASSIC CHECKING","",""
"9/17/2020","USAA PAYROLL INT DIR DEP ***********3240 ACH DEP","USAA PAYROLL INT DIR DEP    ***********3240 ACH DEP","300.00","credit","Paycheck","USAA CLASSIC CHECKING","",""
"9/17/2020","Spotify","Spotify USA 877-7781161 NY","10.81","debit","Music","Signature Visa","",""
"9/17/2020","Robinhood","ROBINHOOD        Funds      ***********0451 ACH WITHDRAWAL","500.00","debit","Investments","USAA CLASSIC CHECKING","",""
"9/15/2020","Vivint","VIVINT INC/US 800-216-5232 UT","55.71","debit","Home Services","Signature Visa","",""
"9/14/2020","INTEREST PAID","INTEREST PAID ","0.01","credit","Interest Income","USAA CLASSIC CHECKING","",""
"9/14/2020","Wal-Mart","WAL-MART #2599 SAN ANTONIO TX","17.44","debit","Shopping","Signature Visa","",""
"9/12/2020","McDonald's","MCDONALD'S F26150 SAN ANTONIO TX","10.81","debit","Fast Food","Signature Visa","",""
"9/12/2020","Total Wine & More","TOTAL WINE AND MORE SAN ANTONIO TX","62.25","debit","Alcohol & Bars","Signature Visa","",""
"9/11/2020","Buffalo Wild Wings","BUFFALO WILD WINGS 0637 210-6949464 TX","16.23","debit","Restaurants","Signature Visa","",""
"9/08/2020","Chipotle","CHIPOTLE ONLINE 3035954000 CA","13.48","debit","Fast Food","Signature Visa","",""
"9/08/2020","Robinhood","ROBINHOOD        Funds      ***********0451 ACH WITHDRAWAL","500.00","debit","Investments","USAA CLASSIC CHECKING","",""
"9/07/2020","SPECS #100 SAN ANTONIO TX","SPECS #100 SAN ANTONIO TX","42.13","debit","Alcohol & Bars","Signature Visa","",""
"9/07/2020","POSTMATES 03447 MCDONA HTTPSPOSTMATECA","POSTMATES 03447 MCDONA HTTPSPOSTMATECA","29.06","debit","Restaurants","Signature Visa","",""
"9/07/2020","SP * MR. TORTILLA STOR HTTPSTHETORTICA","SP * MR. TORTILLA STOR HTTPSTHETORTICA","23.97","debit","Shopping","Signature Visa","",""
"9/06/2020","Mcdonalds","McDonalds","18.00","credit","Restaurants","Venmo","",""
"9/06/2020","Amazon","AMAZON.COM*MU49X2K31 AMZNAMZN.COM/BILLWA","4.80","debit","Shopping","Signature Visa","",""
"9/06/2020","MADURAI MES SAN ANTONIO TX","MADURAI MES SAN ANTONIO TX","15.14","debit","Restaurants","Signature Visa","",""
"9/05/2020","Sauces","Sauces","40.00","debit","Groceries","Venmo","",""
"9/04/2020","Rent","Rent","880.00","credit","Mortgage & Rent","Venmo","",""
"9/04/2020","Movies","Movies","40.00","credit","Income","Venmo","",""
"9/04/2020","Movies","Movies","30.00","credit","Income","Venmo","",""
"9/04/2020","Best Buy","Bestbuy","717.46","debit","Credit Card Payment","Venmo","",""
"9/04/2020","USAA FUNDS TRANSFER DB TO ******8658","USAA FUNDS TRANSFER DB TO ******8658","2600.00","debit","Transfer","USAA CLASSIC CHECKING","",""
"9/04/2020","UNITED 0161579509868800-932-2732 TX","UNITED 0161579509868800-932-2732 TX","30.00","debit","Air Travel","Signature Visa","",""
"9/04/2020","UNITED 0161579509871800-932-2732 TX","UNITED 0161579509871800-932-2732 TX","30.00","debit","Air Travel","Signature Visa","",""
"9/04/2020","UNITED 0161579509869800-932-2732 TX","UNITED 0161579509869800-932-2732 TX","30.00","debit","Air Travel","Signature Visa","",""
"9/04/2020","UNITED 0162321058758800-932-2732 TX","UNITED 0162321058758800-932-2732 TX","168.20","debit","Air Travel","Signature Visa","",""
"9/04/2020","UNITED 0162321058757800-932-2732 TX","UNITED 0162321058757800-932-2732 TX","168.20","debit","Air Travel","Signature Visa","",""
"9/04/2020","UNITED 0161579509870800-932-2732 TX","UNITED 0161579509870800-932-2732 TX","30.00","debit","Air Travel","Signature Visa","",""
"9/04/2020","USAA FUNDS TRANSFER DB TO ******8015","USAA FUNDS TRANSFER DB TO ******8015","2000.00","debit","Transfer","USAA CLASSIC CHECKING","",""
"9/04/2020","USAA FUNDS TRANSFER CR","USAA FUNDS TRANSFER CR ","2600.00","credit","Transfer","USAA CLASSIC CHECKING","",""
"9/03/2020","Fabiana Ardaya Paid","Fabiana Ardaya Paid Gustavo Ranz","350.00","credit","Income","Venmo","",""
"9/03/2020","Cell","Cell","35.00","debit","Mobile Phone","Venmo","",""
"9/03/2020","USAA PAYROLL EXT : DIR DEP ID: USAA-PYRLLCO: USAA PAYROLL EXT %% ACH Trace 021000026553691","USAA PAYROLL EXT : DIR DEP  ID:","320.00","credit","Paycheck","REGULAR SAVINGS","",""
"9/03/2020","USAA PAYROLL EXT : DIR DEP ID: USAA-PYRLLCO: USAA PAYROLL EXT %% ACH Trace 021000026553692","USAA PAYROLL EXT : DIR DEP  ID:","150.00","credit","Paycheck","MONEY MARKET","",""
"9/03/2020","USAA PAYROLL INT DIR DEP ***********3240 ACH DEP","USAA PAYROLL INT DIR DEP    ***********3240 ACH DEP","2263.04","credit","Paycheck","USAA CLASSIC CHECKING","",""
"9/03/2020","USAA PAYROLL INT DIR DEP ***********3240 ACH DEP","USAA PAYROLL INT DIR DEP    ***********3240 ACH DEP","300.00","credit","Paycheck","USAA CLASSIC CHECKING","",""
"9/03/2020","ALAMO STONEOAK RETAIL 512-861-7000 TX","ALAMO STONEOAK RETAIL 512-861-7000 TX","99.55","debit","Entertainment","Signature Visa","",""
"9/03/2020","Wal-Mart","WM SUPERCENTER #2599 SAN ANTONIO TX","107.07","debit","Groceries","Signature Visa","",""
"9/03/2020","Chick-Fil-A","CHICK-FIL-A #00680 210-699-6100 TX","13.30","debit","Fast Food","Signature Visa","",""
"9/03/2020","Robinhood","ROBINHOOD        Funds      ***********0451 ACH WITHDRAWAL","500.00","debit","Investments","USAA CLASSIC CHECKING","",""
"9/02/2020","McDonald's","MCDONALD'S F12673 SAN ANTONIO TX","4.33","debit","Fast Food","Signature Visa","",""
"9/01/2020","Cps August","CPS August","72.00","credit","Income","Venmo","",""
"9/01/2020","August Vivint","August Vivint","54.11","credit","Income","Venmo","",""
"9/01/2020","August Spectrum","August Spectrum","38.23","credit","Income","Venmo","",""
"9/01/2020","To Loan 0002 USED AUTO Mobile Transfer.","To Loan 0002 USED AUTO  Mobile","600.00","debit","Auto Payment","REGULAR SAVINGS","",""
"9/01/2020","From Share 0015 MONEY MARKETMobile Transfer.","From Share 0015   MONEY","22.27","credit","Transfer","REGULAR SAVINGS","",""
"9/01/2020","To Share 0000 REGULAR SAVINGS Mobile Transfer.","To Share 0000 REGULAR SAVINGS","22.27","debit","Transfer","MONEY MARKET","",""
"8/31/2020","Apy Earned","0.050% APY Earned  0.05%","0.02","credit","Income","REGULAR SAVINGS","",""
"8/31/2020","Tiered Rate Apy","Tiered Rate APY Earned  0.21%","0.35","credit","Income","MONEY MARKET","",""
"8/31/2020","Zelle: Norma Velazquez 2719446869","Zelle: Norma Velazquez 2719446869","800.00","debit","Transfer","USAA CLASSIC CHECKING","",""
"8/31/2020","A & A Insurance","USAA INSURANCE PAYMENT ACCOUNT NUMBER ENDING IN 0496","518.54","debit","Auto Insurance","USAA CLASSIC CHECKING","",""
"8/31/2020","Zelle: Norma Velazquez 2717592075","Zelle: Norma Velazquez 2717592075","800.00","debit","Transfer","USAA CLASSIC CHECKING","",""
"8/30/2020","NonApple ATM Fee Cardtronics CCSP 6480 NW LOOP 410 SAN ANTONIO TX CX743942","NonApple ATM Fee  Cardtronics","1.50","debit","ATM Fee","REGULAR SAVINGS","",""
"8/30/2020","Cardtronics","#160265 Cardtronics CCSP 6480","83.25","debit","Groceries","REGULAR SAVINGS","",""
"8/30/2020","Wal-Mart","WAL-MART #2599 SAN ANTONIO TX","25.22","debit","Shopping","Signature Visa","",""
"8/29/2020","Burger King","BURGER KING #9061 https://prod.TX","8.66","debit","Fast Food","Signature Visa","",""
"8/29/2020","Wendy's","POSTMATES 03447 WENDY HTTPSPOSTMATECA","14.15","debit","Fast Food","Signature Visa","",""
"8/28/2020","Interest on Purchases","Interest on Purchases","10.18","debit","Finance Charge","Signature Visa","",""
"8/27/2020","INTEREST PAID","INTEREST PAID ","0.03","credit","Interest Income","USAA CLASSIC CHECKING","",""
